YEAR,OBSERVER,MAG,floods1only,floods2only,floods3only,Floods23only,floods123,floods123W,Beltaos
2003,          ,0,0,0,0,0,0,0,0
2004,          ,0,0,0,0,0,0,0,0
2005,          ,0,0,0,0,0,0,0,0
2006,          ,0,0,0,0,0,0,0,0
2007,WBNP        ,1,1,0,0,0,1,1,0
2008,WBNP        ,1,1,0,0,0,1,1,0
2009,          ,0,0,0,0,0,0,0,0
2010,          ,0,0,0,0,0,0,0,0
2011,          ,0,0,0,0,0,0,0,0
2012,          ,0,0,0,0,0,0,0,0
2013,          ,0,0,0,0,0,0,0,0
2014,"kt, bch",3,0,0,1,1,1,1,1
2015,,0,0,0,0,0,0,0,0
2016,,0,0,0,0,0,0,0,0
2017,,0,0,0,0,0,0,0,0
2018,"kt, bch",0,0,0,0,0,0,0,0
